zip_code,location_id,facility_type,capacity_0_12,capacity_0_5
10303,3,large,400,200
10303,95,large,400,200
10304,1,large,400,200
10304,5,large,400,200
10304,7,large,400,200
10304,8,large,400,200
10304,9,large,400,200
10304,10,large,400,200
10304,11,large,400,200
10305,0,large,400,200
10305,32,small,100,50
10305,53,large,400,200
10305,66,large,400,200
10305,75,large,400,200
10305,99,large,400,200
10306,6,large,400,200
10306,17,large,400,200
10306,25,medium,200,100
10306,35,large,400,200
10306,48,large,400,200
10306,56,large,400,200
10306,59,large,400,200
10306,62,large,400,200
10306,82,large,400,200
10307,11,large,400,200
10307,21,large,400,200
10307,22,medium,200,100
10307,91,large,400,200
10308,0,large,400,200
10308,1,large,400,200
10308,23,large,400,200
10308,62,medium,200,100
10309,0,large,400,200
10309,1,large,400,200
10309,9,large,400,200
10309,10,large,400,200
10309,13,small,100,50
10309,20,large,400,200
10309,21,large,400,200
10310,1,large,400,200
10310,2,large,400,200
10310,3,large,400,200
10310,6,large,400,200
10310,37,large,400,200
10310,69,large,400,200
10310,99,large,400,200
10312,15,large,400,200
10312,19,large,400,200
10312,22,large,400,200
10312,29,large,400,200
10312,31,large,400,200
10312,32,large,400,200
10312,41,large,400,200
10312,47,large,400,200
10312,72,large,400,200
10312,83,large,400,200
10312,84,large,400,200
10312,86,large,400,200
10314,52,large,400,200
10314,53,large,400,200
10314,56,large,400,200
10314,57,large,400,200
10314,58,large,400,200
10314,60,large,400,200
10314,62,large,400,200
10314,63,large,400,200
10314,64,large,400,200
10314,65,large,400,200
10314,83,large,400,200
10314,91,large,400,200
10314,94,large,400,200
10314,95,large,400,200
10314,96,large,400,200
10314,97,large,400,200
10314,98,large,400,200
10451,14,large,400,200
10451,51,large,400,200
10451,63,large,400,200
10451,64,large,400,200
10451,88,medium,200,100
10451,89,large,400,200
10451,93,large,400,200
10451,94,large,400,200
10451,95,large,400,200
10451,96,large,400,200
10451,99,large,400,200
10452,4,large,400,200
10452,12,large,400,200
10452,22,large,400,200
10452,31,large,400,200
10452,43,large,400,200
10452,46,large,400,200
10452,52,large,400,200
10452,57,large,400,200
10452,60,large,400,200
10452,64,large,400,200
10452,74,large,400,200
10452,85,large,400,200
10452,86,large,400,200
10452,89,large,400,200
10452,96,large,400,200
10452,98,large,400,200
10453,5,large,400,200
10453,16,large,400,200
10453,22,large,400,200
10453,30,large,400,200
10453,45,large,400,200
10453,50,large,400,200
10453,53,large,400,200
10453,55,large,400,200
10453,60,large,400,200
10453,61,large,400,200
10453,65,large,400,200
10453,69,large,400,200
10453,72,large,400,200
10453,83,large,400,200
10453,92,large,400,200
10453,96,large,400,200
10454,28,large,400,200
10454,29,large,400,200
10454,30,large,400,200
10454,52,large,400,200
10454,59,large,400,200
10454,62,large,400,200
10454,68,large,400,200
10454,72,large,400,200
10454,79,medium,200,100
10455,11,large,400,200
10455,19,large,400,200
10455,29,large,400,200
10455,44,large,400,200
10455,60,large,400,200
10455,76,large,400,200
10455,77,large,400,200
10455,90,small,100,50
10456,1,large,400,200
10456,3,large,400,200
10456,7,large,400,200
10456,14,large,400,200
10456,30,large,400,200
10456,40,large,400,200
10456,47,large,400,200
10456,50,large,400,200
10456,51,large,400,200
10456,57,large,400,200
10456,58,large,400,200
10456,60,large,400,200
10456,65,large,400,200
10456,67,large,400,200
10456,68,large,400,200
10456,77,large,400,200
10456,80,large,400,200
10456,84,large,400,200
10456,87,large,400,200
10456,97,large,400,200
10457,9,large,400,200
10457,24,large,400,200
10457,25,large,400,200
10457,29,large,400,200
10457,32,medium,200,100
10457,35,large,400,200
10457,44,large,400,200
10457,45,large,400,200
10457,53,large,400,200
10457,57,large,400,200
10457,58,large,400,200
10457,62,large,400,200
10457,67,large,400,200
10457,71,large,400,200
10457,72,large,400,200
10457,73,large,400,200
10457,74,large,400,200
10457,80,large,400,200
10457,82,large,400,200
10457,87,large,400,200
10457,90,large,400,200
10458,5,small,100,50
10458,12,large,400,200
10458,14,large,400,200
10458,18,large,400,200
10458,22,large,400,200
10458,27,large,400,200
10458,34,large,400,200
10458,45,large,400,200
10458,50,large,400,200
10458,54,large,400,200
10458,67,large,400,200
10458,69,large,400,200
10458,79,large,400,200
10458,83,large,400,200
10458,84,large,400,200
10458,87,large,400,200
10458,96,large,400,200
10458,99,large,400,200
10459,6,large,400,200
10459,15,large,400,200
10459,27,large,400,200
10459,33,large,400,200
10459,38,large,400,200
10459,43,large,400,200
10459,54,large,400,200
10459,61,large,400,200
10459,64,large,400,200
10459,72,large,400,200
10459,84,large,400,200
10459,98,large,400,200
10460,1,large,400,200
10460,2,large,400,200
10460,3,large,400,200
10460,6,large,400,200
10460,7,large,400,200
10460,11,large,400,200
10460,13,large,400,200
10460,14,large,400,200
10460,22,large,400,200
10460,25,large,400,200
10460,71,large,400,200
10460,94,large,400,200
10461,6,large,400,200
10461,8,large,400,200
10461,14,large,400,200
10461,28,large,400,200
10461,37,large,400,200
10461,39,large,400,200
10461,41,large,400,200
10461,45,large,400,200
10461,47,large,400,200
10462,16,large,400,200
10462,20,large,400,200
10462,25,large,400,200
10462,28,large,400,200
10462,31,large,400,200
10462,39,large,400,200
10462,46,large,400,200
10462,49,large,400,200
10462,54,large,400,200
10462,60,large,400,200
10462,72,large,400,200
10462,73,large,400,200
10462,74,large,400,200
10462,75,medium,200,100
10462,79,large,400,200
10462,88,large,400,200
10462,89,large,400,200
10462,99,large,400,200
10463,7,large,400,200
10463,41,large,400,200
10463,55,large,400,200
10463,57,large,400,200
10463,60,large,400,200
10463,79,large,400,200
10463,80,large,400,200
10463,82,large,400,200
10463,83,large,400,200
10463,91,medium,200,100
10463,92,large,400,200
10463,96,large,400,200
10463,97,large,400,200
10463,98,large,400,200
10464,57,small,100,50
10465,9,large,400,200
10465,44,large,400,200
10465,57,small,100,50
10465,59,large,400,200
10465,67,large,400,200
10465,91,large,400,200
10465,92,large,400,200
10465,93,large,400,200
10465,95,large,400,200
10465,97,large,400,200
10465,98,large,400,200
10466,25,large,400,200
10466,37,large,400,200
10466,40,large,400,200
10466,61,large,400,200
10466,63,large,400,200
10466,67,large,400,200
10466,68,large,400,200
10466,70,large,400,200
10466,72,large,400,200
10466,73,large,400,200
10466,76,large,400,200
10466,77,large,400,200
10466,78,large,400,200
10466,79,large,400,200
10467,6,large,400,200
10467,14,large,400,200
10467,23,large,400,200
10467,24,large,400,200
10467,30,large,400,200
10467,35,large,400,200
10467,60,large,400,200
10467,62,large,400,200
10467,64,large,400,200
10467,69,large,400,200
10467,76,large,400,200
10467,82,large,400,200
10467,83,large,400,200
10467,84,large,400,200
10467,87,large,400,200
10467,89,large,400,200
10467,94,large,400,200
10467,98,large,400,200
10467,99,large,400,200
10468,9,large,400,200
10468,12,large,400,200
10468,16,large,400,200
10468,18,large,400,200
10468,25,large,400,200
10468,26,large,400,200
10468,31,large,400,200
10468,40,large,400,200
10468,46,large,400,200
10468,50,large,400,200
10468,55,large,400,200
10468,56,large,400,200
10468,60,large,400,200
10468,61,large,400,200
10468,65,large,400,200
10468,66,large,400,200
10468,74,large,400,200
10468,79,large,400,200
10468,80,large,400,200
10468,83,large,400,200
10468,96,large,400,200
10469,1,large,400,200
10469,5,large,400,200
10469,25,large,400,200
10469,41,small,100,50
10469,42,large,400,200
10469,49,large,400,200
10469,75,large,400,200
10469,76,large,400,200
10469,78,large,400,200
10469,79,large,400,200
10469,80,large,400,200
10469,83,large,400,200
10469,86,large,400,200
10469,95,large,400,200
10469,98,large,400,200
10470,0,large,400,200
10470,18,small,100,50
10470,23,large,400,200
10470,72,large,400,200
10470,99,large,400,200
10471,2,large,400,200
10471,52,large,400,200
10471,54,small,100,50
10471,77,large,400,200
10472,7,large,400,200
10472,11,large,400,200
10472,14,large,400,200
10472,28,large,400,200
10472,48,large,400,200
10472,54,large,400,200
10472,61,medium,200,100
10472,63,large,400,200
10472,70,large,400,200
10472,73,large,400,200
10472,74,large,400,200
10472,88,large,400,200
10472,89,large,400,200
10472,91,large,400,200
10472,96,large,400,200
10472,97,large,400,200
10472,98,large,400,200
10473,1,large,400,200
10473,3,large,400,200
10473,8,large,400,200
10473,19,large,400,200
10473,21,large,400,200
10473,29,small,100,50
10473,65,large,400,200
10473,67,large,400,200
10473,68,large,400,200
10473,73,large,400,200
10473,75,large,400,200
10473,96,large,400,200
10474,32,large,400,200
10474,36,large,400,200
10474,81,large,400,200
10475,26,large,400,200
10475,38,large,400,200
10475,53,large,400,200
10475,57,large,400,200
10475,58,large,400,200
10475,60,large,400,200
10475,61,large,400,200
10475,87,large,400,200
10475,94,large,400,200
10475,96,large,400,200
10502,5,large,400,200
10504,4,medium,200,100
10506,45,large,400,200
10507,19,large,400,200
10509,28,small,100,50
10509,93,large,400,200
10509,96,large,400,200
10511,82,medium,200,100
10512,5,medium,200,100
10512,19,large,400,200
10512,55,large,400,200
10512,77,large,400,200
10514,96,large,400,200
10514,97,large,400,200
10516,23,medium,200,100
10516,28,small,100,50
10520,0,large,400,200
10522,50,large,400,200
10523,1,large,400,200
10523,63,small,100,50
10524,48,medium,200,100
10528,0,large,400,200
10528,84,large,400,200
10530,51,large,400,200
10530,74,large,400,200
10530,76,medium,200,100
10532,78,medium,200,100
10533,22,large,400,200
10533,45,large,400,200
10536,1,large,400,200
10536,10,small,100,50
10538,1,large,400,200
10538,2,large,400,200
10538,24,large,400,200
10538,96,medium,200,100
10541,37,large,400,200
10541,67,large,400,200
10541,80,medium,200,100
10541,90,large,400,200
10543,3,large,400,200
10543,4,large,400,200
10543,50,large,400,200
10548,49,large,400,200
10549,1,large,400,200
10549,19,large,400,200
10549,35,large,400,200
10550,3,large,400,200
10550,12,large,400,200
10550,34,large,400,200
10550,45,large,400,200
10550,68,large,400,200
10550,70,small,100,50
10550,72,large,400,200
10552,0,large,400,200
10552,1,large,400,200
10552,3,large,400,200
10552,89,small,100,50
10553,0,large,400,200
10553,4,medium,200,100
10560,22,large,400,200
10560,72,small,100,50
10562,1,small,100,50
10562,27,large,400,200
10562,29,large,400,200
10562,63,large,400,200
10562,70,large,400,200
10566,36,large,400,200
10566,65,large,400,200
10566,80,large,400,200
10567,1,large,400,200
10567,2,large,400,200
10567,56,small,100,50
10567,76,large,400,200
10570,82,large,400,200
10570,84,large,400,200
10573,2,large,400,200
10573,19,large,400,200
10573,31,small,100,50
10573,66,large,400,200
10573,82,large,400,200
10573,94,large,400,200
10573,99,large,400,200
10576,57,small,100,50
10576,58,small,100,50
10579,5,medium,200,100
10580,1,large,400,200
10580,10,small,100,50
10580,24,large,400,200
10583,1,large,400,200
10583,2,large,400,200
10583,4,large,400,200
10583,50,large,400,200
10583,92,large,400,200
10583,94,small,100,50
10588,6,small,100,50
10588,53,large,400,200
10589,79,medium,200,100
10590,83,large,400,200
10591,48,large,400,200
10591,74,small,100,50
10591,99,large,400,200
10594,61,small,100,50
10594,84,large,400,200
10598,2,large,400,200
10598,38,large,400,200
10601,1,large,400,200
10603,1,large,400,200
10603,2,large,400,200
10603,11,large,400,200
10603,12,large,400,200
10604,56,large,400,200
10605,65,large,400,200
10606,43,large,400,200
10606,45,large,400,200
10606,99,large,400,200
10607,91,large,400,200
10701,36,large,400,200
10701,44,large,400,200
10701,45,large,400,200
10701,47,large,400,200
10701,48,large,400,200
10701,49,large,400,200
10701,52,large,400,200
10701,53,large,400,200
10701,55,large,400,200
10701,60,large,400,200
10701,67,large,400,200
10701,75,medium,200,100
10701,90,large,400,200
10701,99,large,400,200
10703,1,large,400,200
10703,68,large,400,200
10703,80,large,400,200
10703,85,large,400,200
10704,64,large,400,200
10704,65,large,400,200
10704,79,large,400,200
10704,90,large,400,200
10704,93,large,400,200
10704,95,large,400,200
10705,19,large,400,200
10705,25,large,400,200
10705,64,large,400,200
10705,65,large,400,200
10705,86,large,400,200
10705,93,large,400,200
10706,0,large,400,200
10707,1,large,400,200
10707,49,large,400,200
10708,0,large,400,200
10708,10,large,400,200
10708,21,large,400,200
10708,26,medium,200,100
10709,2,medium,200,100
10709,24,large,400,200
10710,12,large,400,200
10710,50,large,400,200
10710,83,large,400,200
10710,93,large,400,200
10801,1,large,400,200
10801,59,medium,200,100
10801,73,large,400,200
10801,79,large,400,200
10801,91,large,400,200
10803,23,medium,200,100
10803,49,large,400,200
10804,60,large,400,200
10805,1,large,400,200
10805,49,large,400,200
10805,71,large,400,200
10805,72,large,400,200
10901,0,large,400,200
10901,1,large,400,200
10901,71,large,400,200
10901,93,small,100,50
10913,18,small,100,50
10916,49,large,400,200
10917,29,large,400,200
10918,16,small,100,50
10918,82,large,400,200
10918,84,large,400,200
10920,19,large,400,200
10921,50,small,100,50
10923,1,large,400,200
10923,9,medium,200,100
10923,62,large,400,200
10924,57,large,400,200
10924,86,large,400,200
10925,41,medium,200,100
10925,97,small,100,50
10926,19,large,400,200
10927,34,large,400,200
10927,42,large,400,200
10927,58,large,400,200
10927,97,small,100,50
10928,4,large,400,200
10930,12,large,400,200
10940,0,large,400,200
10940,1,large,400,200
10940,4,large,400,200
10940,5,large,400,200
10940,6,large,400,200
10940,7,large,400,200
10940,9,large,400,200
10940,45,large,400,200
10940,59,large,400,200
10940,85,large,400,200
10941,0,large,400,200
10950,0,large,400,200
10950,1,large,400,200
10950,4,large,400,200
10950,6,large,400,200
10950,7,large,400,200
10950,9,large,400,200
10950,11,large,400,200
10950,12,large,400,200
10950,13,large,400,200
10950,17,large,400,200
10950,19,large,400,200
10950,23,large,400,200
10950,24,large,400,200
10950,40,large,400,200
10950,56,large,400,200
10950,80,large,400,200
10950,86,large,400,200
10950,87,large,400,200
10950,89,large,400,200
10950,90,large,400,200
10950,91,large,400,200
10950,92,large,400,200
10950,93,large,400,200
10950,94,large,400,200
10950,95,large,400,200
10950,96,large,400,200
10950,97,large,400,200
10950,98,large,400,200
10952,2,large,400,200
10952,9,large,400,200
10952,15,large,400,200
10952,23,large,400,200
10952,24,large,400,200
10952,29,large,400,200
10952,34,large,400,200
10952,35,large,400,200
10952,36,large,400,200
10952,43,large,400,200
10952,49,large,400,200
10952,52,large,400,200
10952,63,large,400,200
10952,64,large,400,200
10952,66,large,400,200
10952,71,large,400,200
10952,77,large,400,200
10952,81,large,400,200
10952,83,large,400,200
10952,86,large,400,200
10952,90,large,400,200
10952,93,large,400,200
10952,95,large,400,200
10952,97,large,400,200
10954,2,large,400,200
10954,22,large,400,200
10954,47,large,400,200
10954,70,large,400,200
10954,90,small,100,50
10956,25,large,400,200
10956,27,large,400,200
10956,98,large,400,200
10956,99,large,400,200
10960,38,large,400,200
10960,90,large,400,200
10962,84,large,400,200
10963,4,medium,200,100
10963,37,small,100,50
10965,50,large,400,200
10965,75,large,400,200
10965,87,large,400,200
10968,17,medium,200,100
10970,40,large,400,200
10970,51,large,400,200
10970,73,large,400,200
10970,75,large,400,200
10974,96,large,400,200
10977,2,large,400,200
10977,4,large,400,200
10977,5,large,400,200
10977,10,large,400,200
10977,12,large,400,200
10977,15,large,400,200
10977,21,large,400,200
10977,29,large,400,200
10977,34,large,400,200
10977,36,large,400,200
10977,38,large,400,200
10977,41,large,400,200
10977,42,large,400,200
10977,44,large,400,200
10977,48,large,400,200
10977,52,large,400,200
10977,54,large,400,200
10977,57,large,400,200
10977,58,large,400,200
10977,65,large,400,200
10977,69,large,400,200
10977,71,large,400,200
10977,83,large,400,200
10977,85,large,400,200
10977,91,large,400,200
10977,95,large,400,200
10980,54,large,400,200
10980,88,small,100,50
10980,93,large,400,200
10983,97,medium,200,100
10984,39,large,400,200
10987,78,medium,200,100
10989,48,large,400,200
10990,95,large,400,200
10990,98,large,400,200
10992,1,large,400,200
10992,59,medium,200,100
10998,28,large,400,200
11001,2,small,100,50
11001,81,large,400,200
11001,97,large,400,200
11001,99,large,400,200
11003,0,large,400,200
11003,1,large,400,200
11003,42,large,400,200
11003,46,large,400,200
11003,48,large,400,200
11003,52,large,400,200
11003,70,large,400,200
11003,99,large,400,200
11004,16,large,400,200
11004,38,large,400,200
11004,99,large,400,200
11010,2,large,400,200
11010,24,large,400,200
11010,52,large,400,200
11010,53,large,400,200
11010,54,large,400,200
11020,76,medium,200,100
11021,48,large,400,200
11021,83,medium,200,100
11021,93,large,400,200
11023,49,large,400,200
11023,83,large,400,200
11024,11,large,400,200
11024,20,large,400,200
11030,12,large,400,200
11030,44,large,400,200
11040,74,large,400,200
11040,92,large,400,200
11040,93,large,400,200
11040,95,large,400,200
11040,96,large,400,200
11050,31,large,400,200
11050,32,large,400,200
11050,34,large,400,200
11050,83,large,400,200
11050,84,small,100,50
11096,24,medium,200,100
11096,48,large,400,200
11096,73,large,400,200
11101,11,medium,200,100
11101,15,large,400,200
11101,39,large,400,200
11101,40,large,400,200
11101,54,large,400,200
11101,77,large,400,200
11101,93,large,400,200
11102,31,large,400,200
11102,32,large,400,200
11102,33,large,400,200
11102,35,large,400,200
