zip_code,location_id,facility_type,capacity_0_12,capacity_0_5
10304,1,large,400,200
10304,5,large,400,200
10304,7,large,400,200
10304,62,large,400,200
10304,66,large,400,200
10304,95,large,400,200
10304,99,large,400,200
10305,0,large,400,200
10305,5,large,400,200
10305,25,large,400,200
10305,28,small,100,50
10305,58,large,400,200
10305,88,large,400,200
10306,6,large,400,200
10306,43,medium,200,100
10306,49,large,400,200
10306,65,large,400,200
10306,69,large,400,200
10306,78,large,400,200
10306,82,large,400,200
10306,90,large,400,200
10306,99,large,400,200
10307,11,large,400,200
10307,21,large,400,200
10307,22,medium,200,100
10307,91,large,400,200
10308,0,large,400,200
10308,1,large,400,200
10308,23,large,400,200
10308,62,medium,200,100
10309,0,large,400,200
10309,1,large,400,200
10309,9,large,400,200
10309,10,large,400,200
10309,13,small,100,50
10309,20,large,400,200
10309,21,large,400,200
10310,1,large,400,200
10310,2,large,400,200
10310,6,large,400,200
10310,24,large,400,200
10310,57,large,400,200
10310,61,large,400,200
10310,99,large,400,200
10312,5,large,400,200
10312,13,large,400,200
10312,25,large,400,200
10312,26,large,400,200
10312,28,large,400,200
10312,34,large,400,200
10312,42,large,400,200
10312,49,large,400,200
10312,67,large,400,200
10312,71,large,400,200
10312,85,large,400,200
10312,95,large,400,200
10314,0,large,400,200
10314,1,large,400,200
10314,4,large,400,200
10314,5,large,400,200
10314,6,large,400,200
10314,16,large,400,200
10314,26,large,400,200
10314,46,large,400,200
10314,54,large,400,200
10314,56,large,400,200
10314,63,large,400,200
10314,67,large,400,200
10314,72,large,400,200
10314,85,large,400,200
10314,91,large,400,200
10314,94,large,400,200
10314,96,large,400,200
10451,3,large,400,200
10451,17,large,400,200
10451,18,large,400,200
10451,24,large,400,200
10451,37,large,400,200
10451,51,large,400,200
10451,52,large,400,200
10451,57,large,400,200
10451,78,large,400,200
10451,86,large,400,200
10451,95,large,400,200
10452,12,large,400,200
10452,22,large,400,200
10452,32,large,400,200
10452,33,large,400,200
10452,36,large,400,200
10452,44,large,400,200
10452,48,large,400,200
10452,57,large,400,200
10452,60,large,400,200
10452,70,large,400,200
10452,79,large,400,200
10452,83,large,400,200
10452,85,large,400,200
10452,90,large,400,200
10452,92,large,400,200
10452,94,large,400,200
10453,2,large,400,200
10453,5,large,400,200
10453,22,large,400,200
10453,25,large,400,200
10453,30,large,400,200
10453,40,large,400,200
10453,50,large,400,200
10453,52,large,400,200
10453,55,large,400,200
10453,57,large,400,200
10453,61,large,400,200
10453,64,large,400,200
10453,66,large,400,200
10453,67,large,400,200
10453,72,large,400,200
10453,86,large,400,200
10454,37,large,400,200
10454,58,large,400,200
10454,68,large,400,200
10454,80,large,400,200
10454,83,large,400,200
10454,85,large,400,200
10454,86,large,400,200
10454,96,large,400,200
10455,0,large,400,200
10455,32,large,400,200
10455,56,large,400,200
10455,61,large,400,200
10455,72,large,400,200
10455,76,large,400,200
10455,77,large,400,200
10455,97,large,400,200
10456,1,large,400,200
10456,3,large,400,200
10456,6,large,400,200
10456,7,large,400,200
10456,12,large,400,200
10456,30,large,400,200
10456,31,large,400,200
10456,40,large,400,200
10456,47,large,400,200
10456,50,large,400,200
10456,51,large,400,200
10456,55,large,400,200
10456,60,large,400,200
10456,74,large,400,200
10456,77,large,400,200
10456,80,large,400,200
10456,83,large,400,200
10456,87,large,400,200
10456,89,large,400,200
10456,97,large,400,200
10457,7,large,400,200
10457,9,large,400,200
10457,18,large,400,200
10457,23,large,400,200
10457,25,large,400,200
10457,27,large,400,200
10457,28,large,400,200
10457,30,large,400,200
10457,32,large,400,200
10457,35,large,400,200
10457,39,large,400,200
10457,43,large,400,200
10457,45,large,400,200
10457,46,large,400,200
10457,53,large,400,200
10457,56,large,400,200
10457,64,large,400,200
10457,67,large,400,200
10457,74,large,400,200
10457,78,large,400,200
10457,80,large,400,200
10458,7,large,400,200
10458,16,large,400,200
10458,20,large,400,200
10458,22,large,400,200
10458,26,large,400,200
10458,33,large,400,200
10458,37,large,400,200
10458,39,large,400,200
10458,50,large,400,200
10458,61,large,400,200
10458,66,large,400,200
10458,69,large,400,200
10458,72,large,400,200
10458,74,large,400,200
10458,81,large,400,200
10458,85,large,400,200
10458,90,large,400,200
10458,91,large,400,200
10459,9,large,400,200
10459,15,large,400,200
10459,25,large,400,200
10459,26,large,400,200
10459,38,large,400,200
10459,51,large,400,200
10459,63,large,400,200
10459,64,large,400,200
10459,71,large,400,200
10459,83,large,400,200
10459,84,large,400,200
10459,87,large,400,200
10460,7,large,400,200
10460,11,large,400,200
10460,13,large,400,200
10460,14,large,400,200
10460,20,large,400,200
10460,22,large,400,200
10460,27,large,400,200
10460,28,large,400,200
10460,29,large,400,200
10460,30,large,400,200
10460,71,large,400,200
10460,94,large,400,200
10461,0,large,400,200
10461,1,large,400,200
10461,4,large,400,200
10461,6,large,400,200
10461,7,large,400,200
10461,18,large,400,200
10461,27,large,400,200
10461,86,large,400,200
10461,98,large,400,200
10462,6,large,400,200
10462,24,large,400,200
10462,25,large,400,200
10462,28,large,400,200
10462,44,large,400,200
10462,46,large,400,200
10462,49,large,400,200
10462,54,large,400,200
10462,55,large,400,200
10462,66,large,400,200
10462,73,large,400,200
10462,74,large,400,200
10462,79,large,400,200
10462,85,large,400,200
10462,86,large,400,200
10462,88,large,400,200
10462,98,large,400,200
10462,99,large,400,200
10463,0,large,400,200
10463,8,large,400,200
10463,12,large,400,200
10463,13,large,400,200
10463,16,large,400,200
10463,20,large,400,200
10463,25,large,400,200
10463,32,large,400,200
10463,71,large,400,200
10463,73,large,400,200
10463,85,large,400,200
10463,92,large,400,200
10463,99,large,400,200
10464,84,small,100,50
10465,9,large,400,200
10465,13,large,400,200
10465,33,large,400,200
10465,48,large,400,200
10465,51,large,400,200
10465,60,large,400,200
10465,62,large,400,200
10465,67,large,400,200
10465,85,small,100,50
10465,93,large,400,200
10465,95,large,400,200
10466,4,large,400,200
10466,36,large,400,200
10466,37,large,400,200
10466,40,large,400,200
10466,41,large,400,200
10466,53,large,400,200
10466,54,large,400,200
10466,63,large,400,200
10466,77,large,400,200
10466,78,large,400,200
10466,82,large,400,200
10466,88,large,400,200
10466,95,large,400,200
10466,97,large,400,200
10467,22,large,400,200
10467,25,large,400,200
10467,27,large,400,200
10467,30,large,400,200
10467,40,large,400,200
10467,41,large,400,200
10467,44,large,400,200
10467,49,large,400,200
10467,60,large,400,200
10467,62,large,400,200
10467,77,large,400,200
10467,80,large,400,200
10467,82,large,400,200
10467,83,large,400,200
10467,84,large,400,200
10467,89,large,400,200
10467,93,large,400,200
10467,94,large,400,200
10467,98,large,400,200
10468,9,large,400,200
10468,14,large,400,200
10468,17,large,400,200
10468,23,large,400,200
10468,26,large,400,200
10468,31,large,400,200
10468,34,large,400,200
10468,36,large,400,200
10468,40,large,400,200
10468,46,large,400,200
10468,48,large,400,200
10468,51,large,400,200
10468,56,large,400,200
10468,57,large,400,200
10468,63,large,400,200
10468,69,large,400,200
10468,74,large,400,200
10468,79,large,400,200
10468,80,large,400,200
10468,89,large,400,200
10468,96,large,400,200
10469,1,large,400,200
10469,25,large,400,200
10469,42,large,400,200
10469,75,large,400,200
10469,76,large,400,200
10469,78,large,400,200
10469,79,large,400,200
10469,80,large,400,200
10469,83,large,400,200
10469,84,large,400,200
10469,86,large,400,200
10469,95,large,400,200
10469,96,large,400,200
10469,98,large,400,200
10470,23,large,400,200
10470,44,large,400,200
10470,72,large,400,200
10470,74,small,100,50
10470,99,large,400,200
10471,2,large,400,200
10471,52,large,400,200
10471,54,small,100,50
10471,77,large,400,200
10472,15,large,400,200
10472,20,large,400,200
10472,21,large,400,200
10472,28,large,400,200
10472,33,large,400,200
10472,54,large,400,200
10472,58,large,400,200
10472,70,large,400,200
10472,72,large,400,200
10472,73,large,400,200
10472,74,large,400,200
10472,77,large,400,200
10472,89,large,400,200
10472,91,large,400,200
10472,96,large,400,200
10472,97,large,400,200
10472,98,large,400,200
10473,33,large,400,200
10473,37,large,400,200
10473,40,large,400,200
10473,45,large,400,200
10473,47,large,400,200
10473,52,large,400,200
10473,57,large,400,200
10473,61,large,400,200
10473,63,large,400,200
10473,71,large,400,200
10473,80,large,400,200
10474,29,large,400,200
10474,34,large,400,200
10474,55,large,400,200
10475,8,large,400,200
10475,26,large,400,200
10475,30,large,400,200
10475,63,large,400,200
10475,66,large,400,200
10475,67,large,400,200
10475,68,large,400,200
10475,69,large,400,200
10475,70,large,400,200
10475,87,large,400,200
10502,4,large,400,200
10506,45,large,400,200
10507,21,large,400,200
10511,90,medium,200,100
10512,23,large,400,200
10512,51,large,400,200
10512,52,large,400,200
10514,2,medium,200,100
10516,19,small,100,50
10524,96,medium,200,100
10528,40,small,100,50
10530,50,large,400,200
10530,51,large,400,200
10533,29,large,400,200
10533,62,small,100,50
10536,88,large,400,200
10538,26,large,400,200
10538,88,large,400,200
10541,98,large,400,200
10543,12,large,400,200
10543,48,medium,200,100
10548,35,large,400,200
10549,12,medium,200,100
10549,20,large,400,200
10550,26,large,400,200
10550,29,large,400,200
10550,51,large,400,200
10550,72,large,400,200
10550,96,large,400,200
10550,99,small,100,50
10552,34,large,400,200
10552,74,large,400,200
10552,80,medium,200,100
10553,0,large,400,200
10553,4,medium,200,100
10560,22,large,400,200
10560,72,small,100,50
10562,22,large,400,200
10562,48,small,100,50
10562,63,large,400,200
10566,87,small,100,50
10566,89,large,400,200
10567,66,large,400,200
10567,83,large,400,200
10567,99,large,400,200
10570,45,large,400,200
10570,67,medium,200,100
10573,29,large,400,200
10573,30,large,400,200
10573,34,large,400,200
10573,90,large,400,200
10573,94,large,400,200
10576,17,medium,200,100
10580,1,large,400,200
10580,22,large,400,200
10583,10,large,400,200
10583,99,large,400,200
10588,6,small,100,50
10588,53,large,400,200
10589,50,medium,200,100
10590,11,small,100,50
10591,93,medium,200,100
10594,61,small,100,50
10594,84,large,400,200
10603,1,large,400,200
10603,2,large,400,200
10603,11,large,400,200
10603,92,medium,200,100
10607,84,small,100,50
10701,46,large,400,200
10701,48,large,400,200
10701,49,large,400,200
10701,54,large,400,200
10701,55,large,400,200
10701,57,large,400,200
10701,60,large,400,200
10701,61,large,400,200
10701,88,large,400,200
10701,94,large,400,200
10701,99,large,400,200
10703,68,large,400,200
10703,85,large,400,200
10703,95,large,400,200
10704,54,large,400,200
10704,65,large,400,200
10704,70,large,400,200
10704,73,large,400,200
10704,90,large,400,200
10704,93,large,400,200
10705,0,large,400,200
10705,4,large,400,200
10705,37,large,400,200
10705,48,large,400,200
10705,78,large,400,200
10707,82,large,400,200
10708,0,large,400,200
10708,10,large,400,200
10708,21,large,400,200
10708,90,small,100,50
10709,7,small,100,50
10709,24,large,400,200
10710,38,large,400,200
10710,49,large,400,200
10710,68,large,400,200
10710,84,large,400,200
10801,49,large,400,200
10801,79,large,400,200
10801,90,large,400,200
10803,37,medium,200,100
10805,1,large,400,200
10805,50,large,400,200
10805,61,small,100,50
10805,72,large,400,200
10901,54,large,400,200
10901,61,large,400,200
10901,96,medium,200,100
10916,26,large,400,200
10917,43,large,400,200
10918,0,large,400,200
10918,46,large,400,200
10923,1,large,400,200
10923,5,small,100,50
10923,62,large,400,200
10924,2,large,400,200
10925,48,medium,200,100
10925,73,small,100,50
10926,45,large,400,200
10927,21,large,400,200
10927,54,large,400,200
10928,4,large,400,200
10930,12,large,400,200
10940,29,large,400,200
10940,48,large,400,200
10940,55,large,400,200
10940,64,large,400,200
10940,74,large,400,200
10940,85,large,400,200
10940,96,large,400,200
10950,0,large,400,200
10950,11,large,400,200
10950,19,small,100,50
10950,20,large,400,200
10950,38,large,400,200
10950,40,large,400,200
10950,42,large,400,200
10950,43,large,400,200
10950,44,large,400,200
10950,45,large,400,200
10950,46,large,400,200
10950,48,large,400,200
10950,50,large,400,200
10950,52,large,400,200
10950,56,large,400,200
10950,57,large,400,200
10950,61,large,400,200
10950,62,large,400,200
10950,66,large,400,200
10950,67,large,400,200
10950,69,large,400,200
10950,71,large,400,200
10950,73,large,400,200
10950,74,large,400,200
10950,75,large,400,200
10950,80,large,400,200
10950,98,large,400,200
10952,10,large,400,200
10952,13,large,400,200
10952,15,large,400,200
10952,20,large,400,200
10952,34,large,400,200
10952,36,large,400,200
10952,49,large,400,200
10952,51,large,400,200
10952,60,large,400,200
10952,75,large,400,200
10952,80,large,400,200
10952,81,large,400,200
10952,82,large,400,200
10952,83,large,400,200
10952,84,large,400,200
10952,85,large,400,200
10952,87,large,400,200
10952,90,large,400,200
10952,91,large,400,200
10952,93,large,400,200
10952,94,large,400,200
10952,98,large,400,200
10952,99,large,400,200
10954,2,large,400,200
10954,22,large,400,200
10954,23,large,400,200
10954,47,large,400,200
10956,39,large,400,200
10960,12,medium,200,100
10962,84,large,400,200
10963,31,medium,200,100
10965,50,large,400,200
10970,2,large,400,200
10970,51,large,400,200
10970,73,medium,200,100
10970,75,large,400,200
10974,96,large,400,200
10977,0,large,400,200
10977,4,large,400,200
10977,10,large,400,200
10977,15,large,400,200
10977,21,large,400,200
10977,33,large,400,200
10977,36,large,400,200
10977,39,large,400,200
10977,41,large,400,200
10977,44,large,400,200
10977,48,large,400,200
10977,50,large,400,200
10977,51,large,400,200
10977,52,large,400,200
10977,53,large,400,200
10977,56,large,400,200
10977,57,large,400,200
10977,65,large,400,200
10977,69,large,400,200
10977,71,large,400,200
10977,75,large,400,200
10977,80,large,400,200
10980,47,large,400,200
10980,75,large,400,200
10983,97,medium,200,100
10984,39,large,400,200
10987,42,medium,200,100
10989,22,small,100,50
10990,0,large,400,200
10992,27,large,400,200
10998,0,large,400,200
11001,45,large,400,200
11001,50,large,400,200
11001,51,large,400,200
11003,23,large,400,200
11003,24,large,400,200
11003,30,large,400,200
11003,54,large,400,200
11003,56,large,400,200
11003,57,large,400,200
11003,97,large,400,200
11004,16,large,400,200
11004,38,large,400,200
11004,99,large,400,200
11010,2,large,400,200
11010,24,large,400,200
11010,52,large,400,200
11010,53,large,400,200
11010,54,large,400,200
11020,45,small,100,50
11021,41,large,400,200
11021,78,large,400,200
11023,0,large,400,200
11023,24,small,100,50
11024,11,large,400,200
11030,52,large,400,200
11040,7,large,400,200
11040,99,large,400,200
11050,63,large,400,200
11096,48,large,400,200
11096,74,large,400,200
11101,10,large,400,200
11101,27,large,400,200
11101,50,large,400,200
11101,77,large,400,200
11101,80,large,400,200
11101,97,large,400,200
11102,1,large,400,200
11102,2,large,400,200
11102,5,large,400,200
11102,76,large,400,200
11103,2,large,400,200
11103,26,large,400,200
11103,51,large,400,200
11103,53,large,400,200
11103,54,large,400,200
11104,24,large,400,200
11104,25,large,400,200
11104,26,large,400,200
11104,51,large,400,200
11104,52,large,400,200
11105,0,large,400,200
11105,3,large,400,200
11105,10,large,400,200
11105,24,large,400,200
11105,43,medium,200,100
11105,44,large,400,200
11105,52,large,400,200
11106,3,large,400,200
11106,13,large,400,200
11106,29,large,400,200
11106,53,large,400,200
11106,61,large,400,200
11106,63,large,400,200
11109,54,large,400,200
11109,65,large,400,200
11109,75,large,400,200
11201,1,large,400,200
11201,2,large,400,200
11201,3,large,400,200
11201,4,large,400,200
11201,5,large,400,200
11201,6,large,400,200
11201,11,large,400,200
11201,18,large,400,200
11201,21,large,400,200
